ID,Type,Utterance,Dialog_Act,translated_Utterance
27_0,T,"Okay, I want to thank you for your participation so far in this intake. But I want to move to another section of intake, specifically your family history if that's okay with you. So I'm going to be asking you various questions about your relatives. Okay, ",gc,من می خواهم از شما برای مشارکتتان در این پذیرش تشکر کنم، اما می خواهم به بخش دیگری از پذیرش برویم، به ویژه تاریخچه خانوادگی شما، اگر شما موافق هستید. بنابراین من می خواهم از شما سوالات مختلفی در مورد خویشاوندان شما بپرسم.
27_1,P,yeah.,gc,آره، آره
27_2,T,Are you adopted?,ynq,تو به فرزندي گرفته شدي؟
27_3,P,No.,yna,نه، نه
27_4,T,All right. Are your parents married?,ynq,باشه، پدر و مادرت ازدواج کردن؟
27_5,P,They're not married.,yna,اونا ازدواج نکرده اند.
27_6,T,She's married four times.,ynq,اون چهار بار ازدواج کرده.
27_7,P,Yeah.,ack,آره، آره
27_8,T,What age were you when your parents divorced?,irq,وقتي پدر و مادرت از هم جدا شدن چند سالت بود؟
27_9,P,I was about 16.,id,حدود 16 سالم بود.
27_10,T,"And then your father you said, remarried. He did. And how long after the divorce? ",irq,و بعد پدرت دوباره ازدواج کرد.و بعد از چه مدت طلاق گرفت؟
27_11,P,I think it was about 18.,id,فکر کنم حدود 18 سال بود
27_12,T,You're about 18. And then your mother remarried and was divorced a few times your sign?,irq,تو حدود 18 سالت هست و بعد مادرت دوباره ازدواج کرد و چند بار از علامت تو طلاق گرفت؟
27_13,P,"Well, yeah, I mean, it was pretty much right after they got divorced. She married some guy. I don't even know he was nice guy, but it was like six months after pretty much like real fast. Um, and then that didn't last very long. Forgive me, I have to remember like how long they were together because there's so many. But I believe that they were only together for not even a year. And then she kind of had some time where she just was dating But it was numerous people. And then she met somebody in her a meeting. And they married. That lasted, that they probably got married.",id,خب، آره، منظورم اینه که درست بعد از اینکه طلاق گرفتن بود. اون با یه مرد ازدواج کرد. حتی نمیدونم که اون یه مرد خوب بود، ولی بعد از شش ماه خیلی سریع بود. امم، و بعدش خیلی طول نکشید. ببخشید، من باید یادم بیاد که چقدر با هم بودند چون خیلی زیاد هستند. اما من باور دارم که آنها حتی یک سال هم با هم نبودند. و بعدش او نوعی زمان داشت که او فقط با افراد زیادی قرار می گرفت. و بعد او با کسی ملاقات کرد. و آنها ازدواج کردند.
27_14,T,"So well, she was married to your father.",ynq,خب، اون با پدرت ازدواج کرده بود.
27_15,P,Yeah.,ack,آره، آره
27_16,T,"And then, very quickly after that, you said and then she met some a Meeting.",irq,و بعد، خیلی زود بعد از آن، شما گفتید و بعد او با برخی از یک جلسه ملاقات کرد.
27_17,P,"Yes, that's a third and then this one would be Oh, yeah, the fourth the fourth. Okay.",id,بله، این یک سوم است و سپس این یکی خواهد بود اوه، بله، چهارم چهارم.
27_18,T,Yeah. She married now.,ynq,آره، الان ازدواج کرده.
27_19,P,"No, no. Now she's, I don't know, just dating or whatever she was",yna,نه، نه. حالا اون، نميدونم، فقط با کسی قرار داره يا هر چي که بود
27_20,T,how long did the last marriage so that,irq,ازدواج آخر چقدر طول کشید تا اینکه
27_21,P,was three years that was the longest.,id,سه سال طولانی ترین مدت بود.
27_22,T,So how's your relationship with your father?,irq,رابطه تو با پدرت چطوره؟
27_23,P,"Um, it's good, I guess. I mean,",id,امم، خوبه، فکر کنم. منظورم اینه که،
27_24,T,"All right, how about your relationship with your mother?",irq,خوب، رابطه تو با مادرت چطوره؟
27_25,P,"Um, it's just it's honestly there's no other way to describe it. It's just chaotic. I mean, she's chaotic. So she's all over the place and it's just Hard to capture on a good day. And when you do, it's just you know, it's kind of surface our relationship.",id,"""مذکر: """"صراحةً هیچ راه دیگری برای توصیف آن وجود ندارد، فقط هرج و مرج است، یعنی او هرج و مرج است، پس او در همه جا است و گرفتن آن در یک روز خوب سخت است، و وقتی این کار را انجام می دهید، این فقط، شما می دانید، این نوعی از سطح رابطه ما است."""""""
27_26,T,"Alright, so who? Who raised you?",irq,خب، پس کي تو رو بزرگ کرد؟
27_27,P,"My parents raised me? Yeah, yeah. I mean, they were good parents, I guess, according to my standards, because my mom was just always a mess. So I guess they both did the best that they could, given some circumstances. So",id,پدر و مادر من مرا بزرگ کردند؟ بله، بله. منظورم این است که آنها والدین خوبی بودند، به نظر من، با توجه به استانداردهای من، چون مادر من همیشه یک آشفتگی بود. پس فکر می کنم هر دو آنها بهترین کاری را که می توانستند انجام دادند، با توجه به شرایطی که وجود داشت.
27_28,T,"do you think the way they're raised has an impact on who you are now in terms of,",irq,آیا فکر می کنید شیوه ای که آنها بزرگ شده اند بر کسی که شما اکنون هستید تأثیر می گذارد؟
27_29,P,"um, I think so. Yeah, definitely.",id,فکر کنم آره، قطعا
27_30,T,"tough memories in Yeah,",ynq,خاطرات سخت در آره،
27_31,P,"yeah, absolutely. ",ack,آره، مطمئنا.
27_32,T,Can you tell me about your siblings?,irq,می تونی در مورد خواهر و برادرات بهم بگی؟
27_33,P,I do. I do. I have two siblings. Okay.,id,بله، بله، من دو خواهر و برادر دارم.
27_34,T,So what's your relationship with with them now? What's it like now?,irq,پس رابطه شما با آنها در حال حاضر چگونه است؟
27_35,P,"Um, it's okay. You know, I guess. I mean,",id,خب، مشکلی نیست، فکر کنم.
27_36,T,I didn't mention that. Everybody went their separate way.,irq,من اينو نگفتم همه به راه خودشون رفتند
27_37,P,"Yeah. I don't really see them quite honestly. So If I do see them and maybe it's like if I show up at a at a family party once every five years, but so I think to me, that's okay. That's right. Yeah.",id,آره. من واقعا آنها را کاملا صادقانه نمی بینم. بنابراین اگر من آنها را ببینم و شاید این مثل اینکه من در یک در یک مهمانی خانوادگی یک بار در هر پنج سال ظاهر می شوم، اما بنابراین من به خودم فکر می کنم، این خوب است. این درست است. آره.
27_38,T,You're satisfied with your relationship with them?,irq,از رابطه ات با اونا راضي هستي؟
27_39,P,"I think so. I mean, you know, it's not my fault that they won't accept who I am.",id,فکر کنم آره، منظورم اينه که تقصير من نيست که اونا منو قبول نميکنن
27_40,T,"Are you aware of any medical conditions that like your mother and father might have or your grandparents,",irq,آیا شما از شرایط پزشکی که مانند مادر و پدر شما ممکن است داشته باشد یا پدربزرگ و مادربزرگ شما، آگاه هستید؟
27_41,P,"like heart disease or anything like back in the medical? My grandpa had like heart disease. My grandfather had cancer but he beat colon cancer was in like the first stage but he was fine after. But as far as my parents, they don't have any medical issues that I know of.",id,پدربزرگم سرطان داشت اما سرطان روده بزرگ را شکست داد، در مرحله اول بود اما بعد از آن خوب بود.اما تا جایی که به پدر و مادرم مربوط می شود، آنها هیچ مشکل پزشکی ندارند که من از آن ها مطلع باشم.
27_42,T,"All right, how about kind of same question except for mental health conditions.",irq,خوب، چه می شود اگر همان سوال را به جز شرایط سلامت روانی بپرسیم.
27_43,P,I'm just crazy. Like my mom was crazy and she was just completely,id,من فقط دیوانه ام. مثل اینکه مادرم دیوانه بود و او کاملا
27_44,T,You have any formal diagnosis she had her um,irq,شما هیچ تشخیص رسمی دارید که او داشت؟
27_45,P,"she uses magnetic like I guess like bipolar, but we she never really got like a definitive label as dipole bipolar and like therapy or anything like that. But",id,او از مغناطیس استفاده می کند، مثل من فکر می کنم مثل دوقطبی، اما ما او هرگز واقعا مثل یک برچسب قطعی به عنوان دوقطبی دوقطبی و مانند درمان یا هر چیز شبیه به آن.
27_46,T,"you know, symptoms of bipolar and anxiety. Yeah.",irq,شما می دانید، علائم دوقطبی و اضطراب.
27_47,P,"No, that's just my mom with her. You know obsessiveness and she'd get depressed after But as far as any other siblings No, no.",id,نه، فقط مامانم با اون بود. میدونی وسواس و بعدش افسرده میشد اما تا جایی که هر خواهر و برادر دیگه ای هستن نه، نه.
27_48,T,Do you have any special family traditions?,irq,آیا هیچ سنت خانوادگی خاصی دارید؟
27_49,P,"I mean, we would go on family vacations. When I was a kid. We were constantly staying at the best hotels and stuff like that. Because a mom, you know, would shop around, she actually would Book Three hotels, and just decide which one she liked better when we got there. I don't, I don't know. But anyway, we would do that we would go on vacations together, we would always go down to the beach. So that was really our family tradition as far as in like holidays. We did when we were younger. We would have like our family over for Christmas and stuff like that. But",id,وقتی بچه بودم، همیشه در بهترین هتل ها می ماندیم و این جور چیزها.چون یک مادر، می دانست که می تواند در اطراف خرید کند، در واقع سه هتل رزرو کند، و فقط تصمیم بگیرد که کدام یک را بیشتر دوست دارد.من نمی دانم، من نمی دانم.اما به هر حال، ما این کار را می کردیم، ما با هم به تعطیلات می رفتیم، ما همیشه به ساحل می رفتیم.پس این واقعا سنت خانوادگی ما بود تا جایی که در تعطیلات مثل تعطیلات.ما وقتی جوان تر بودیم این کار را می کردیم.
27_50,T,"can you tell me about holidays, like were the most important holidays to your family.",irq,می توانید درباره تعطیلات به من بگویید، مانند مهم ترین تعطیلات برای خانواده شما.
27_51,P,"I Christmas was yester During the most important Thanksgiving, ",id,من کریسمس دیروز بودم در مهم ترین روز شکرگزاری،
27_52,T,how did you celebrate those holidays?,irq,اون تعطیلات رو چطور جشن گرفتی؟
27_53,P,"Sometimes we would go to my cousin's house on my dad's side, and Christmas would be at my parents house and then Easter woods. It was just very back back and forth between my cousins or my parents, whoever wanted to happen.",id,گاهی اوقات به خانه پسر عموی من از طرف پدرم می رفتیم و کریسمس در خانه پدر و مادرم بود و بعد در جنگل های عید پاک. این فقط خیلی به عقب و جلو بین پسر عموی من یا پدر و مادرم بود، هر کسی که می خواست اتفاق بیفتد.
27_54,T,Can you tell me about your extended family?,irq,می تونی در مورد خانواده بزرگت بهم بگی؟
27_55,P,"my extended family? Well, on my dad's side, my uncle, he's super successful. And he's a cool guy, you know, I don't really see him now. But when I was a kid, I did. But now I don't see him at all. Honestly, I don't really see anybody at all. But um, yeah, and on my mom's side, she has a sister. And she's like crazy, but she's not as crazy as my mom. But she has she has two kids. And she's actually still married to her to her husband. They were actually highschool sweethearts, so I don't have where my mom came from but and I hadn't seen her probably since I graduated high school. And, you know, she associates my mom and they talk amongst themselves so I don't really have a relationship with her either. So",id,"""خانواده بزرگ: """"خانم من از طرف پدرم، عموی من، خیلی موفق است، و او یک مرد خوب است، می دانید، من او را نمی بینم، اما وقتی بچه بودم، او را می دیدم، اما حالا او را نمی بینم، صادقانه بگویم، من اصلاً کسی را نمی بینم، اما او یک خواهر دارد، او مثل یک دیوانه است، اما دیوانه نیست، او دو فرزند دارد، اما او هنوز با همسرش ازدواج کرده است، آنها در واقع دو پسر و دو دختر بودند، بنابراین من از او نمی شناسم، اما او را از دبیرستان می شناسم."""
27_56,T,"Alright, so not not many active relationships there. Your family history. It sounds like so.",irq,خوب، پس روابط فعال زیادی در آنجا وجود ندارد. تاریخچه خانوادگی شما. به نظر می رسد.
27_57,P,"Well, yeah, there's not many now.",id,خب، آره، الان خیلی هم نیستن.
27_58,T,Is there anything else you want to tell me about your family history?,irq,آیا چیزی دیگر وجود دارد که می خواهید در مورد تاریخچه خانواده خود به من بگویید؟
27_59,P,"Um, my mom would drink sometimes when I was growing up, but that's what my mom is really friendly to me when she would drink And yeah, she would drink. I don't know if that's, you know, she was considered an alcoholic but she would drink often. And I think just to come off of her shopping a lot she would drink or vice versa. Sometimes she would drink or shopping or just to calm down, she would drink and sometimes in our drinking habits, she would actually be nice to me.",id,وقتی من بزرگ می شدم، مادرم گاهی اوقات می نوشید، اما وقتی مادرم به من می نوشید، خیلی با من دوست داشتنی بود، و بله، او می نوشید. نمیدونم آیا این به عنوان یک الکلی شناخته می شد یا نه، اما او اغلب می نوشید. و من فکر می کنم فقط برای اینکه از خریدش بیرون بیاید، او خیلی می نوشید یا برعکس. گاهی اوقات او می نوشید یا خرید می کرد یا فقط برای آرام شدن، او می نوشید و گاهی اوقات در عادت های نوشیدن ما، او در واقع با من خوب بود.
27_60,T,And they also have something.,ynq,و آنها نیز چیزی دارند.
27_61,P,Definitely.,ack,قطعا.
48_0,T,"Hi, Miss Watson, see you again. See, I'm glad you came back in. I've got the results now of the blood work that we did after your checkup. ",gt,سلام خانم واتسون، دوباره ميبينمت ببين، خوشحالم که برگشتي من الان نتايج آزمايش خون رو که بعد از معاينه کرديم گرفتم
48_1,P,Okay.,ack,باشه، باشه
48_2,T,And before we go over any of that I really wanted to find out from you how things are going and what you're concerned about.,irq,و قبل از اینکه به هر چیزی از این موضوع بپردازیم من واقعا می خواستم از شما بدونم که اوضاع چگونه پیش می رود و شما در مورد چه چیزی نگران هستید.
48_3,P,"Well, I mean, I'm, I'm curious about them because I haven't been very well, right. I haven't been very, very well. I've been last week I threw up some blood. ",id,خب، منظورم این است که من، من در مورد آنها کنجکاو هستم چون من خیلی خوب نبودم، درسته. من خیلی، خیلی خوب نبودم. من هفته گذشته بودم من کمی خون بالا انداختم.
48_4,T,Is that the first time that's happened?,irq,اين اولين باريه که اين اتفاق مي افته؟
48_5,P,"Yeah, the first time. I mean, I threw up blood last weekend then. Again, yesterday. So there's something bad going on. I know there's something bad going ",id,آره، اولین بار. منظورم اینه که، آخر هفته گذشته خون به آرام انداختم. دوباره، دیروز. پس یه چیز بدی داره اتفاق می افته. میدونم یه چیز بدی داره اتفاق می افته.
48_6,T,What do you think is going,irq,فکر ميکني چي داره مياد؟
48_7,P,what cancer right I think I probably have cancer i'm not i'm not doing very well I just look headaches and I was just,id,چه سرطان درست است؟ فکر می کنم احتمالا سرطان دارم. من نیستم. من خیلی خوب نیستم. من فقط به سردرد نگاه می کنم. و من فقط
48_8,T,"let's try to figure some of this out. Okay. When you said you were throwing up blubbery, throwing up bright red blood and was it like little spots, big spots?",irq,بیایید سعی کنیم مقداری از این را بفهمیم. خب. وقتی گفتید که چربی می انداختید، خون قرمز درخشان می انداختید و آیا مثل لکه های کوچک، لکه های بزرگ بود؟
48_9,P,"It was a it was almost filling a toilet wasn't that much. I wasn't like that it was enough that I could see it in the toilet, and I was throwing up.",id,این تقریبا پر کردن توالت بود، خیلی زیاد نبود. من اینطور نبودم، به اندازه کافی بود که می توانستم آن را در توالت ببینم، و من استفراغ می کردم.
48_10,T,And did did you have any other symptoms?,irq,و آیا علائم دیگری هم داشتید؟
48_11,P,"Well, I was feeling sick. So and I had headaches and I, you know, I've got,",id,خب، احساس بیماری می کردم. پس و سردرد داشتم و من، می دانید، من دارم،
48_12,T,what time of day was this? ,irq,چه ساعتی از روز بود؟
48_13,P,I have headaches a lot,id,من خیلی سردرد دارم
48_14,T,"throughout the day, throwing up the blood",irq,در طول روز، خون را به بالا انداختن
48_15,P,"that was in the morning and then again,",id,صبح بود و بعد دوباره،
48_16,P,"the other time it was sort of later in the day, but I",id,دفعه ی دیگر در اواخر روز بود، اما من
48_17,P,"you know, I also wake up in the middle of the night and I'm just covered in sweat. I know that's another cancer thing.",id,میدونی، من هم وسط شب بیدار میشم و فقط پر از عرق هستم. میدونم که این یه چیز سرطان دیگه ست.
48_18,T,"Look, I can understand why you're worried. All right, because throwing up Blood is scary, and waking up soaked in sweat in the middle of the night. That doesn't feel right either. Let me ask you a couple of questions that might help explain things. When did you have your last drink?",gc,ببین، می تونم بفهمم چرا نگران هستی. باشه، چون استفراغ کردن خون ترسناکه، و بیدار شدن خیس از عرق در وسط شب. این هم احساس خوبی نداره. بذار چندتا سوال ازت بپرسم که ممکنه به توضیح چیزها کمک کنه. آخرین بار کی نوشیدنی خوردی؟
48_19,P,"Actually, just before I came here,",id,در واقع، درست قبل از اینکه به اینجا بیایم،
48_20,T,"okay, so that was earlier this morning. All right, what did you have?",irq,باشه، پس اين صبح زودتر بود.خب، چي خوردي؟
48_21,P,"I had orange juice and I had some vodka in it. It's the only thing actually that like steadies me enough to get out the door. I don't ever go out that often. But right now,",id,آب پرتقال و مقداری وودکا در آن داشتم. این تنها چیزی است که در واقع به اندازه کافی من را برای بیرون آمدن از در آرام می کند. من هرگز آنقدر بیرون نمی روم. اما در حال حاضر،
48_22,T,so tell me how it helps you.,irq,پس بهم بگو که چطور به تو کمک ميکنه
48_23,P,"It's just studies me studies me like I'm, you know, I'm shaking all the time. I'm just like,",id,فقط مطالعه من مطالعه من مثل من، شما می دانید، من در حال لرزش تمام وقت. من فقط مثل،
48_24,T,"So over the course of the day, in order to study yourself in order to feel calmer. How many drinks do you end up having?",irq,در طول روز، برای مطالعه خود و آرام شدن، چند تا نوشیدنی می نوشید؟
48_25,P,"Five? Hmm, maybe",id,پنج تا؟
48_26,T,singles or doubles?,irq,تک نفره یا دو نفره؟
48_27,P,I don't measure,id,من اندازه گیری نمی کنم
48_28,T,right. So is it mainly vodka,gc,درسته. پس عمدتاً وودکا است
48_29,P,"Sometimes if I'm feeling really like my stomach is really upset, I'll drink cider. So that's its cider or vodka because",gc,گاهی اوقات اگر احساس می کنم که معده ام واقعا ناراحت است، سیدر می نوشم. پس این سیدر یا وودکا است چون
48_30,T,"and you ever get that feeling in the morning that some people describe that they wake up feeling so edgy. They need a drink to calm down. Yeah. It's like the only thing that works for me. Anything that works, too. So in the past week, do you think you've been drinking more?",irq,آیا تا به حال آن احساس را در صبح داشته اید که برخی از مردم توصیف می کنند که آنها احساس می کنند که خیلی عصبی هستند؟ آنها به یک نوشیدنی برای آرام شدن نیاز دارند. بله. این مانند تنها چیزی است که برای من کار می کند. هر چیزی که کار می کند، همچنین. پس در هفته گذشته، آیا فکر می کنید که شما بیشتر نوشیدنی کرده اید؟
48_31,P,In the last week? Not so much in the last couple of weeks maybe?,irq,در هفته گذشته؟ شاید در چند هفته گذشته خیلی زیاد نبود؟
48_32,T,"Hasn't been daily. Oh, yeah. Right. So the longest you've gone without a drink in the last month would be how long?",id,نه روزانه. اوه، آره. درسته. پس طولانی ترین مدت که در ماه گذشته بدون نوشیدنی بوده ای چقدر طول می کشد؟
48_33,P,"I don't know. Actually. I mean, I don't know. I've got you know, I've got a lot going on. Right. Yeah. So my, my sister is in Boston, she's got cancer and I know like I should be calling her and I can't do that. My mom is really sick and she's horrible, and I'm the only one that Who can go see her? And I go see my mother and she just yells and screams at me and she's got this email and it's just",id,"""من نمی دانم. در واقع، من نمی دانم. من می دانم، من می دانم، من خیلی چیزها را می دانم. درسته. بله. بنابراین خواهر من در بوستون است، او سرطان دارد و من می دانم که من باید به او زنگ بزنم و من نمی توانم این کار را انجام دهم. مادر من واقعا بیمار است و او وحشتناک است، و من تنها کسی هستم که می تواند او را ببیند؟ و من به دیدن مادرم می روم و او فقط به من فریاد می زند و به من می گوید و این ایمیل را دارد و این فقط است."""""""
48_34,T,"so for all of those things, the alcohol helps.",ynq,برای همه ی این موارد، الکل کمک می کند.
48_35,P,"Yeah, yeah.",ack,آره، آره.
48_36,T,"Yeah. And does it ever happen sort of by the end of the day, that you have trouble the next day remembering what happened?",irq,آره.و آیا تا به حال اتفاق افتاده است که در پایان روز، مشکل دارید روز بعد چه اتفاقی افتاده است را به یاد بیاورید؟
48_37,P,"I guess. I mean, I, you know, my days don't differ that much. But I, you know, I'll fall asleep in front of television and then I'm not seeing lots of people so I you know, there's not big events in my life that I would be remembering. I just, you know, especially now that I'm feeling so not well, that I",id,فکر می کنم. منظورم این است که، من، شما می دانید، روزهای من خیلی متفاوت نیست. اما من، شما می دانید، من در مقابل تلویزیون به خواب می روم و سپس من بسیاری از مردم را نمی بینم، بنابراین من شما می دانید، هیچ رویداد بزرگی در زندگی من وجود ندارد که من به یاد می آورم. من فقط، شما می دانید، به ویژه در حال حاضر که من احساس خیلی خوب نیست، که من
48_38,P,"yeah, there's not much that I would have to remember",id,آره، چيز زيادي نيست که بايد به ياد بيارم
48_39,T,having that. Have you tried it all to cut down on your drinking?,ynq,آیا همه چیز را برای کاهش نوشیدن خود امتحان کرده اید؟
48_40,P,I did. I did.,ack,من کردم، کردم
48_41,P,"You know, I had a boyfriend who",id,میدونی، من یه دوست پسر داشتم که
48_42,P,"you know, was Sort of casual coming over and, and he, he basically said he couldn't be with me anymore because I drink too much. And so I tried. I tried. I was like, Well, yeah, and then he left. So who cares, right? I mean, right?",id,میدونی، یه جورایی بی سر و صدا اومد و، و اون، اون اساساً گفت که دیگه نمیتونه با من باشه چون من خیلی میخورم. و پس من سعی کردم. من سعی کردم. من مثل، خب، آره، و بعدش اون رفت. پس چه اهمیتی داره، درسته؟ منظورم اینه، درسته؟
48_43,T,You find yourself feeling feeling guilty about the alcohol.,ynq,شما احساس گناه در مورد الکل می کنید.
48_44,P,"I feel guilty about my sister, right? I feel guilty that I can't like I just can't. I can't even call her like I can't.",id,من احساس گناه می کنم به خاطر خواهرم، درست است؟ من احساس گناه می کنم که نمی توانم مثل من نمی توانم. من حتی نمی توانم به او زنگ بزنم.
48_45,P,Right. So,id,درسته، پس.
48_46,P,"if I, if I could pull it together than I could,",id,اگر من، اگر من می توانستم آن را با هم بکشم تا من می توانستم،
48_47,T,"because what I understand from what you're telling me is that the drinking helps meet a certain need for you, in terms of trying to hold things together with all this stuff going on, and meets a need in terms of trying to keep you calmer. But at the same time, it's getting you into trouble. It's getting into trouble in terms of relationships, but it's also the most likely act explanation for why you've been throwing up blood isn't why the lab results that I've got are consistent with an amount of alcohol that's too much for your body to handle. Really, really, and that means, ideally, that we're going to work together to find a way to do something about it.",gc,"""چیزهایی که من از آنچه شما به من میگوید می فهمم این است که نوشیدن به شما کمک می کند تا نیاز خاصی را برآورده کنید، از نظر تلاش برای نگه داشتن همه چیز با همه این موارد در حال انجام، و نیاز را در رابطه با تلاش برای آرام نگه داشتن شما برآورده می کند.اما در عین حال، این باعث می شود شما به دردسر بیفتید.این در رابطه با مشکلات است، اما همچنین احتمال بیشتری دارد که توضیح دهد که چرا شما خون را به بیرون می ریختید، این دلیل نیست که نتایج آزمایشگاهی که من گرفته ام با مقدار الکل مطابقت دارد."""""""
67_0,T,"sure you understand you've been having some symptoms which have been bothering you, but can you tell me what you think's going on?",irq,مطمئنم که می فهمید که علائم زیادی دارید که شما را اذیت می کنند، اما می توانید به من بگویید که به نظر شما چه اتفاقی می افتد؟
67_1,P,"Yeah, I've been feeling really low and I think I might be depressed. ",id,آره، احساس خیلی بدی دارم و فکر می کنم که ممکن است افسرده باشم.
67_2,T,You think you might be depressed?,irq,فکر ميکني ممکنه افسرده باشي؟
67_3,T,Have you ever felt this way in the past?,irq,آیا تا به حال در گذشته چنین حسی داشته اید؟
67_4,P,I mean,id,منظورم اینه
67_5,P,"years ago I you know, felt had some of these similar things. But I didn't really think about it much and I mean, it's gone on for like, I've been feeling this way for like a month. And, you know, I I think something's wrong.",id,سالها پیش، می دانید، احساس کردم که برخی از این چیزهای مشابه را داشتم. اما من واقعا زیاد در مورد آن فکر نمی کردم و منظورم این است که، این برای مانند، من برای یک ماه این احساس را داشتم. و، می دانید، من فکر می کنم چیزی اشتباه است.
67_6,T,"having any feelings of sad sadness, hopelessness?",ynq,احساس غم و اندوه، ناامیدی؟
67_7,P,"Yeah,",ack,آره، آره
67_8,T,yeah?,irq,آره؟
67_9,P,Yeah. I haven't been able to sleep.,id,آره، نتونستم بخوابم
67_10,T,trouble sleeping?,irq,مشکل خواب؟
67_11,P,This has been going on for a month.,id,این برای یک ماه ادامه دارد.
67_12,P,Yeah,gc,آره، آره
67_13,T,Have you noticed a change in your ability to experience fun or pleasure?,irq,آیا متوجه تغییری در توانایی خود برای تجربه سرگرمی یا لذت شده اید؟
67_14,P,"I haven't really thought about it. But I mean, I still have fun sometimes.",id,من واقعا در مورد آن فکر نکرده ام. اما منظورم این است که، من هنوز هم گاهی اوقات سرگرم کننده است.
67_15,P,I just noticed that most of my,gc,فقط متوجه شدم که بیشتر
67_16,T,"most time you're sad, but you still have fun. Have you lost an interest in pursuing things that are fun?",irq,بیشتر وقت ها غمگین هستی، اما هنوز هم سرگرم هستی. آیا علاقه ای به دنبال چیزهایی که سرگرم کننده هستند از دست داده ای؟
67_17,P,"No, I mean, I still try, you know, you know, to distract myself. Like if I noticed that I'm like, just feeling really low and or like, even if I can't sleep At night, like I'll do go do something that I like doing. You know how to pass the time?",yna,نه، منظورم این است که من هنوز سعی می کنم، می دانید، می دانید، خودم را منحرف کنم. مانند اگر متوجه شدم که من مثل، فقط احساس خیلی پایین و یا مثل، حتی اگر من نمی توانم در شب بخوابم، مثل من می روم چیزی را انجام دهم که دوست دارم انجام دهم. شما می دانید که چگونه زمان را بگذرانم؟
67_18,T,Any change in your appetite or weight in the last couple weeks?,irq,در چند هفته گذشته هیچ تغییری در اشتها یا وزن شما رخ داده است؟
67_19,P,"Yeah, I mean, I haven't really been eating that much. And I've actually lost a few pounds. Yes, three pounds. Yeah.",ack,آره، منظورم اینه که من خیلی غذا نخورده ام و در واقع چند پوند از دست داده ام. بله، سه پوند. بله.
67_20,T,And you mentioned the sleep disturbance not been sleeping as much as you'd like to?,irq,و شما از اختلال خواب یاد کردید که به اندازه ای که می خواهید نمی خوابید؟
67_21,P,"Correct. It's really hard for me to fall asleep. And sometimes I'll just lie there for hours at night and it's, you know, awful focused, and I'm tired all day, because I didn't sleep at night. And when I get home and it's time for bed again, I still can't fall asleep.",id,درست است. خوابیدن برای من خیلی سخت است. و گاهی اوقات من فقط برای ساعت ها در شب دراز می کشم و این، شما می دانید، وحشتناک متمرکز است، و من تمام روز خسته هستم، چون شب خوابیده ام. و وقتی به خانه می روم و دوباره وقت خواب است، هنوز نمی توانم بخوابم.
67_22,T,So that's been affecting your energy level?,ynq,پس اين روي سطح انرژي تو اثر گذاشته؟
67_23,P,Yeah.,ack,آره، آره
67_24,T,Do you feel restless or the opposite kind of slowed down and having either one of those feelings.,irq,آیا احساس بی قراری می کنید یا برعکس، آهسته می شوید و یکی از این احساسات را دارید؟
67_25,P,"No, not really like that",yna,نه، واقعاً اينطوري نيست
67_26,T,have been having any feelings of worthlessness?,ynq,هيچ احساس بي ارزشي نداشته اي؟
67_27,P,No.,yna,نه، نه
67_28,T,like that?,irq,اینطوری؟
67_29,P,"no, I mean, like not really no, like, I don't feel worthless. I just you know, I just I'm still sad. I don't know why I'm sad. ",id,نه، منظورم اینه که، نه واقعا نه، مثل، من احساس بی ارزشی نمیکنم. من فقط میدونی، من فقط هنوز غمگین هستم. نمیدونم چرا غمگین هستم.
67_30,T,How about your concentration level any changes there?,irq,در مورد سطح تمرکز شما چه تغییری رخ داده است؟
67_31,P,"Yeah, it's it's hard to concentrate at work and, and in general even at home because I just am so tired. not sleeping and tonight I just get distracted by like, you know, like, I'll be over, come with emotion and I out of nowhere, like it's hard for me to pay attention to what I'm doing. If I'm getting distracted by those thoughts.",id,بله، تمرکز کردن در کار و به طور کلی حتی در خانه سخت است، چون من خیلی خسته هستم، نمی خوابم و امشب فقط از طریق، می دانید، مثل، من خواهم بود، با احساس می آیم و من از هیچ جا، مثل این است که برای من سخت است که به آنچه که انجام می دهم توجه کنم اگر من توسط آن افکار حواس پرت می شوم.
67_32,T,Have you been having any thoughts related to death or dying?,ynq,آیا تا به حال هیچ فکری در مورد مرگ یا مرگ داشته اید؟
67_33,P,Nothing like that. No.,yna,چیزی شبیه به آن نیست.
67_34,T,"So these symptoms you've been describing, have been causing limitations in your functioning in what areas",irq,پس این علائم که شما توصیف کرده اید، باعث محدودیت در عملکرد شما در چه زمینه هایی شده است؟
67_35,P,what work,irq,چه کاری؟
67_36,P,at home to,id,در خانه به
67_37,P," I want to play with my cat I usually like my cat for like an hour every night, just because I'm at work all day but I haven't I've been having trouble like even doing that. Yeah, so I would say and then even like my relationships to like my social life, it's been affecting it.",id,من می خواهم با گربه ام بازی کنم، من معمولا هر شب یک ساعت از گربه ام لذت می برم، فقط به این دلیل که تمام روز را در کار هستم، اما من تا به حال مشکلی برای انجام این کار نداشته ام. بله، پس می گویم و حتی دوست دارم روابطم را دوست داشته باشم، زندگی اجتماعی من، آن را تحت تاثیر قرار داده است.
67_38,T,Any drug or alcohol use?,ynq,مصرف مواد مخدر یا الکل؟
67_39,P,NO,yna,نه
